model,accuracy,roc_auc,precision,recall,f1,is_champion
decision_tree,0.7880434782608695,0.7861071257771401,0.8118811881188119,0.803921568627451,0.8078817733990148,False
random_forest,0.875,0.9235413677666188,0.8761904761904762,0.9019607843137255,0.8888888888888888,False
gradient_boosting,0.8858695652173914,0.9386059301769488,0.900990099009901,0.8921568627450981,0.896551724137931,True
